Number,Title,Default_Spirits,Mandatory_Spirits,Mandatory_Aspects,Restricted_Spirits,Restricted_Aspects,Adversary,Board_Setup,Game_Effects,Description,Victory_Text,Unlocks
11,Survival Instinct,(none),"Vengeance as a Burning Plague, Shroud of Silent Mist",,All other spirits,,Scotland,Opposite Shores,Use Dahan Insurrection default scenario.,"Vengeance as a Burning Plague and Shroud of Silent Mist continue their work of destruction. Desperate for their survival, Dahan, believing their salvation cannot come as long as invaders are present, are growing increasingly agitated. In an attempt to calm the spirits of destruction, they decide to do their best to rid the island of invaders altogether.","Invaders may have taken a blow, but already new ships appear on the horizon. Mist and Plague do not falter, and Dahan are growing desperate. Thankfully, help is on the horizon",Scenario #72
12,AFFINITY - Spirits of Kinship with Dahan,(none),"Thunderspeaker, Grinning Trickster Stirs Up Trouble",,All other spirits,,France,Standard,Use Despicable Theft default scenario,"Quit following me! shouts Thunderspeaker.
Oh? it answers. But if I left, who would tell you about the Spirit-Speaker who made a deal with invaders, and is currently offering them various baubles forged by your very hands?
This has better not be another one of your trick, grumbles Thunderspeaker as it rushes toward the nearby Dahan encampment.","Among Dahan, there is something of a saying: be careful when calling spirits for help. The Thunderspeaker may answer, if you are lucky. If you are not, it may answer still, but will have a few too many eyes.","If you won during your first game, reveal Artifact #23 and Artifact #39.
If you won during your second game, only reveal Artifact #23."
13,Habsburg Showdown,(none),"Stone's Unyielding Defiance, Fractured Days Split the Sky, Starlight Seeks its Form",,All other spirits,,Habsburg,Thematic Map South-West and South-East,"If you have used Flag #9, unlock one among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
If you have used Flag #10, unlock one among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
Use Elemental Invocation default scenario","Invaders had a bit of time to prepare, and have decided to try to stand fast against the spirits. By now, however, the elements themselves have been alerted by the spirits' intend, and are willing to lend a hand.","As spirits celebrate their victory, their attention is drawn to the very centre of the island, where a battle of a different nature is taking place.",Scenario #87
14,Prussian CONFRONTATION,"Vital Strength of the Earth, Lightning's Swift Strike, River Surges in Sunlight, Shadows Flicker Like Flame",(none),,(none),,Brandenburg-Prussia,Opposite Shores,Use Guard the Isle's Heart default scenario,"Spirits regroup. River Surges in Sunlight shares Ocean's Hungry Grasp's refusal, and Shadows Flicker Like Flame mentions the cryptic rumour among the Dahan, concerning a new strategy adopted by the invaders. Surprisingly, Lightning's Swift Strike remains quiet and contemplative, very much unlike its usual demeanour.
The spirits have little time to contemplate their next steps: already, a new wave of invaders is pouring it. This time, they seem especially curious, and especially drawn to the centre of the island. While the meaning of this behaviour eludes them, the spirits are certain of one thing: the invaders must not reach that which they seek.","The question floats in the air, remaining unanswered: what were the invaders seeking? As there is no point in asking a question when it is clear no answer can be provided, all spirits abstain. It is in this silence that Lightning's Swift Strike speaks, describing what it saw high up in the Shattered Sky: different aspects of themselves, taking the shape of old objects charged with ancestral power, hidden beneath the earth. (Rephrase) Hidden, and awaiting the day they would surface again. In those ancient objects may lie the answer to their predicament.

Spirits agree: some of them would have to stay on the island, defending it as best they can, while others may go on a search of those objects, hoping to alter the course of events in their favour.","Reveal Flag #1, Flag #2 and Artifact #19.

Unlock Scenario #57."
15,To Save A Dahan's Life,Volcano Looming High,Thunderspeaker,,"Vengeance as a Burning Plague, Shroud of Silent Mist",,Sweden,Standard,Use Ward the Shores default scenario.,"Volcano Looming High cares little for the content of the gathering: two spirits of destruction are loose on its island, and while it is usually the one being known for causing widespread destruction, this time the destruction is out of its control - and out of control in general.
Most spirits do not care much for Volcano Looming High's alarm: aren't invaders destroying islands all over the archipelago?
Thankfully, one of them agrees to help, for the sake of the Dahan that are dying every day. Thus an uneasy truce is formed between the Volcano that caused a great many Dahan's deaths and their champion.
Of course, before leaving, Thunderspeaker insists on raising protections to its own island, so Dahan and other spirits may defend it in its absence.","Who knows what could remain of the island since Volcano Looming High left? Hurried and dreadful, the spirits hurry back.",Scenario #72
16,A Dwindling Flame,"Lure of the Deep Wilderness, Shifting Memory of Ages, Finder of Paths Unseen",(none),,(none),,Russia,Standard,Use Rituals of the Destroying Flame default scenario,"The barrier surrounding the island is not fully erected, and invaders are still circumventing it with ease. As spirits regroup, they notice that the Sun is burning bright in the sky: sure sign of a Ritual happening.","Spirits manage to scare invaders away, but a few stay behind, hypnotized by Lure of the Deep Wilderness. Individual invaders escape notice more easily than large groups, and who knows how the ritual is going to affect the powerful appeal of the Deep Wilderness?",Scenario #20
17,To interact with a Web of Souls,(none),"Many Minds Move as One, Bringer of Dreams and Nightmares",,All other spirits,,England,Fragment,Use A Diversity of Spirits default scenario,"Weaves a Web of Souls is not difficult to find: it is, after a fashion, ubiquitous, as long as there are beings that are part of the Web of Souls. Interacting with it, however, is not easy: it is necessary to be able to understand beings formed of multiple minds, and the complex individuality of each of those minds. Many Minds Move as One knows this, and sought one who could help it in this interaction... and when it comes to understanding invaders' innermost thoughts and dreams, it is not difficult to know who to call.","Communication is not easy, and definitely not straightforward, but before long, Many Minds Move as One achieves something like an understanding of Weaves a Web of Souls' intentions. It also learns of the recent events in its own island, for the dreams of invaders are soon filled with promises of invulnerability. Many Minds Move as One departs in a hurry: whatever it has learned will have to wait.",Scenario #94
18,"A Lone, Unyielding Spirit",(none),"Stone's Unyielding Defiance, Vital Strength of the Earth",,All other spirits,,Habsburg,Standard,Use Rituals of the Destroying Flame default scenario,"The invaders' newfound invulnerability scared most spirits away, fleeing and regrouping elsewhere. On a lone island on the Southmost point of the archipelago, only a handful of spirits and Dahan remained: Dahan unwilling to abandon the island on which they were born and raised, or yet unaware of the invaders' magic. Among the remaining spirits, most were small enough to go by unnoticed, or were already siding with the invaders; only one decided to stay and face the invaders heads-on, Unyielding to the last. It called for all the help it could get, hoping that its sibling, if nobody else, would hear it and come to support its resistance.","Stone and Earth working in unison are remarkable adversaries, and by working together, they managed to fend off the first wave, though only at great cost. Yet as a new wave appeared on the horizon, neither suggested departing: they would stay and defend this island to the last...",Scenario #65
19,ASPECT of Pandemonium,(none),"Lightning's Swift Strike, Downpour Drenches the World",Pandemonium,All other spirits,,France,Fragment,Use Elemental Invocation default scenario,"How long has it been, says Downpour Drenches the World, since we danced together in the heavens, let rain fall upon the world in joyous tumult, and revelled in the smell of mildew and wet grass? Come, cross the archipelago, join me, let us unleash the elements upon this island, and let us dance the night away!","The spirits' dance unleashed chaos on an unprecedented scale. Down below, on the island, there is nothing but confusion and uproar. It looks as though entire parts of the island are joining in the dance, shifting and moving to accompany the spirits, and Dahan, invaders and beasts are brought along, thoroughly confused as the island revolves around them.","If you won during your first game, unlock Lightning's Swift Strike's Pandemonium aspect.
If you won during your second game, instead reveal Artifact #33
Regardless of the outcome, unlock Scenario #78"
20,Sometimes Heard From Again,Shifting Memory of Ages,Lure of the Deep Wilderness,,Finder of Paths Unseen,,Russia,Standard,Use Despicable Theft default scenario,"Protected by the Ritual of the Destroying Flame, some invaders not only made their way to the Deep Wilderness, but also managed to come back.
Spirits, as Dahan, can be prey to violent emotions, even spirits as odd as Lure of the Deep Wilderness. Upon seeing them depart, it flew into a rage, deploying every tool in its arsenal to ensure such happenstance would never, ever happen again.","During this time, the Pathmaker was nowhere to be seen: last minute coordination efforts were to be made to arrange for the gathering of all spirits... and invaders are still coming to the island, Lured ever inward.",Scenario #23
21,Making Amends to the Land,"Downpour Drenches the World, Many Minds Move as One",(none),,Grinning Trickster Stirs Up Trouble,,France,Standard,Use Varied Terrains default scenario,"Already, some smaller spirits have decided to provide help to the invaders in retaliation for the events they have been put through.
As Downpour Drenches the World and Many Minds Move as One approach smaller spirits to make amends, they realise there is one missing: Grinning Trickster Stirs Up Trouble is nowhere to be seen. Hopefully it went back to defend the rest of the island, which had already been left unattended for quite some time.","Spirits large and small eventually come to an uneasy agreement. As soon as this is done, Many Minds Move as One departs: it has always been close to Weaves a Web of Souls; perhaps they could find each other, and come to an understanding?",Scenario #17 and #56
22,Too Short a Barrier,"River Surges in Sunlight, Lightning's Swift Strike, Shadows Flicker Like Flame, Vital Strength of the Earth",(none),,(none),,Brandenburg-Prussia,"Coastline, formed with 3 boards instead of 2.","Do not place any invaders on the central board; place Dahan, blight, disease and beasts as usual. The shores of the central board are not considered coastal for the sake of exploring for this game. Place a Scenario token on all shores of the middle board; in each of those lands, Defend 3. Place spirits' original presence on the top and bottom board.
Build actions are skipped in the middle board for the entire game.
Thunderspeaker cannot be unlocked during this game.","Shadows Flicker Like Flame's arrival almost goes unnoticed: already, invaders are pouring from both sides of the magical barrier that has been created on the shores. Reunions will have to wait; invaders will not.","The spirits ultimately manage to repel the invaders, but it is clear to all that it is but a temporary respite. Upon learning of trouble on other islands, they take a quick decision: River Surges in Sunlight offers to seek the help of a long-time ally living further away from the shores; whereas Lightning's Swift Strike takes it upon itself to warn as many spirits as possible throughout the archipelago.","Scenario #8, #29 and #83"
23,Russian CONFRONTATION,"Lure of the Deep Wilderness, Finder of Paths Unseen, Shifting Memory of Ages",(none),,(none),,Russia,Standard,"Play your first game without any scenario.
If you win, play a second time with the Second Wave default scenario. This game is only considered won if you won both times. The adjustment to adversary level specified in the Second Wave default scenario is only temporary; as such, Adversary Level should go up by a total of 1, not 2, after both games have been played.

If you lose your first game, you have to win both games once again.

Spirits cannot be unlocked or mastered during this scenario.","The Pathmaker comes back just in time: if spirits are to be welcomed here, the island needs to be emptied of troublemakers, thoroughly.","Spirits do their best to chase away as many invaders as they could, but they all know this is only a temporary solution. In this case, temporary may be good enough: already, spirits from all over the archipelago are starting to arrive.","Reveal Flag #11, Flag #12 and Artifact #51.
Unlock Scenario #54"
24,Unexpected Help,"Keeper of the Forbidden Wilds, Ocean's Hungry Grasp, Thunderspeaker, Grinning Trickster Stirs Up Trouble",(none),,(none),,Sweden,Standard,Use Guard the Isle's heart default scenario.,"Spirits arrive in the nick of time: invaders managed to clear up the wilds that protected the shores, and their ritual of terror seems to barely restrain the invaders, eyes bright with greed. Inch by inch, they make their way toward the heart of the island. It is fortunate that the spirits came back when they did. As they start bolstering the island's defense, they notice unexpected events: beasts at unexpected locations; conflict and strife among Dahan and invaders both...","Spirits mention disappointment and anger after their fruitless trip.
As they do so, a bird with many eyes lands close to them, greeting them with a Grin. Stalker of Hidden Secrets did not lie, it says, but it did not tell the full truth either. Hearth-Vigil is not alone in helping the invaders, there is at least another one with it. One who Weaves a Web of Souls.
This explains much: the fear of a small group of invaders is offset by the greed of all those left behind, now shared through a Web of Souls. Spirits' understanding of the situation takes a new form: it will not be enough to scare off small groups of invaders: a coordinated effort throughout the archipelago will be required to push the invaders back.
And what of Hearth-Vigil's location?, they ask.
The many-eyed bird is gone.",Scenario #89
25,AFFINITY - Spirits of Resilient Flora,(none),"A Spread of Rampant Green, Keeper of the Forbidden Wilds",,All other spirits,,France,Coastline,Use The Great River default scenario,"Rumour is, on the land from which invaders came, there is always demand for new cash crops. As such, invaders could be tempted to try to go ever more inland, seeking new terrains to cultivate, ever expanding their plantation colony. In this case, they are bound to hit a wall. Specifically, a wall of thorns and branches, and ever Spreading Green.","Rumour is, after their encounter with A Spread of Rampant Green and Keeper of the Forbidden Wilds, some invaders abandoned the plantation colony altogether, terrified at the prospect that the crops they are cultivating may one day uproot themselves and turn against them.
They may be right.","If you won during your first game, reveal Artifact #8 and Artifact #50.
If you won during your second game, only reveal Artifact #50."
26,Prussia's Efficiency,"Lightning's Swift Strike, River Surges in Sunlight, Shadows Flicker Like Flame",Vital Strength of the Earth,,(none),,Brandenburg-Prussia,Opposite Shores,"On each starting land with 2 Dahan, place only 1 Dahan. On each starting land with 1 Dahan, don't place Dahan at all. At the beginning of each spirit phase, add 1 Dahan (total, not per board) on any land with Dahan.","Those newcomers are unlike anything the spirits have ever seen! In the short amount of time they were gone to rouse Vital Strength of the Earth, the invaders have extended their reach from one shore to the other! Worse still, it seems they scared the Dahan away: a lot of them are hiding or on the run. There is no time to ponder upon this now: first, the invaders must be repelled. Perhaps the joint efforts of the remaining Dahan and the spirits may convince a few more Dahan to come back?","As the dust settles on the once again quiet island, Shadows Flicker Like Flame mentions tales and heresays among Dahan. The spirits originally thought the Dahan were running away, but they were mistaken: Dahan were rather answering a call by another spirit, on another island, one going by the name of Thunderspeaker. Little else is known. Without saying another word, Shadows Flicker Like Flame disappears, leaving the other spirits to fend for themselves.",Scenario #64 and #90
27,ASPECT of Resilience,"Sharp Fangs Behind the Leaves, A Spread of Rampant Green, Bringer of Dreams and Nightmares",Vital Strength of the Earth,Resilience,(none),,England,Standard,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","As soon as Vital Strength of the Earth takes shape on the island, everything seems to calm down. Bringer of Dreams and Nightmares itself chose a tamer, less terrifying aspect to greet their guests. Surely, the aspect they were looking for is nearby - all they have to do is to get their hands on it before the invaders do.","Vital Strength of the Earth uses the opportunity of his visit to describe the invaders' odd behaviour on his island: clearly, they are seeking something. Something located deep within the islands. Indeed, as he describes the situation, a new wave of invaders arrive, visibly with the same intentions. A Spread of Rampant Green departs to warn a friendly spirit on a neighbouring island, leaving the others behind to defend the heart of the island.","If you won during your first game, unlock Vital Strength of the Earth's Resilience aspect.
If you won during your second game, instead reveal Artifact #13.
Regardless of the outcome, unlock Scenario #45 and #60."
28,Scottish Showdown,(none),"Vengeance as a Burning Plague, Volcano Looming High, Shroud of Silent Mist",,All other spirits,,Scotland,Thematic Map South-West and West,"If you have used Flag #13, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
If you have used Flag #14, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
Additional victory condition: terror level 3, there are neither cities nor town on the island.","Invaders are trying as best they can to entrench themselves. They had a bit of time to prepare, but nothing can really prepare anyone to the combined anger of such spirits.","Invaders from all over the island are trying to make a run for it. Spirits are divided: some of them want to exterminate them to the last; others believe it is best to terrify them to send a strong message. Fortunately, the island is large enough to accommodate both camps.",Scenario #59 and #74
29,Thunder and Lightning,(none),"Lightning's Swift Strike, A Spread of Rampant Green",,All other spirits,,England,Standard,Use blitz default scenario,"Lightning's Swift Strike soars high in the sky, and up there, it finds Thunderspeaker's roar, still echoing. It takes it and carries it on its wings, far and wide, so that every corner of the archipelago may hear it. The roar resonates like a warning, announcing the trouble to come, and urging spirits and Dahan to prepare. As Lightning's Swift Strike flies over the Northmost island of the archipelago, it is flagged down by A Spread of Rampant Green: here, the warning comes too late: invaders have already set foot on the island, and seem hell bent on making it their new home. Surely, a spirit as quick as lightning can find the time to lend a hand?","Lightning's Swift Strike helps as best it can, and is gone before the dust settles. As it flies one last time above the archipelago to ensure it hasn't missed anything, its attention is drawn to the heavens - there, somewhere between Sun and Moon, halfway between Day and Night, it catches a glimpse of Might-Have-Been, or perhaps of Will-Be... troubled by what it saw, it bolts back to the island where Vital Strength of the Earth and Shadows Flicker Like Flame are holding the fort.",Scenario #14
30,Lost in the Swirling Haze,(none),"Grinning Trickster Stirs Up Trouble, Shroud of Silent Mist",,All other spirits,,France,Coastline,Use The Great River default scenario,"The plantation colony's restless state is fascinating to Grinning Trickster Stirs Up Trouble, and captures all its attention. Perhaps this explains its surprise when the mist generated by Downpour Drenches the World's incessant rain takes shape, its voice the echoes of the archipelago's pain. Did Grinning Trickster Stirs Up Trouble assist the birth of a new spirit? If so, what brought it into existence?
As the spirit's mind is riddled with questions, the invaders relentlessly attempt to reach the heart of the island, hell-bent on finding the secret of invulnerability.","Grinning Trickster Stirs Up Trouble pokes and probes the new spirit, seeking answers, but the spirit provides none. Quickly, the Trickster grows bored with its investigation, and what is that sound in the distance? It looks like Downpour Drenches the World and Lightning's Swift Strike are having a wonderful time...",Scenario #78
31,Immense ASPECT,(none),"Thunderspeaker, Lightning's Swift Strike",Immense,All other spirits,,Sweden,Standard,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","As the story goes, it is on this island that Thunder was born from Lightning. On the sands where Lightning struck the ground, rumour has it there is now a crystalline formation in which Thunder still Roars Brightly. Could it still be there, after all this time? An echo of a time where the storm was Immense above the island?
Perhaps it was never so, and it is Thunderspeaker's tale, told and retold among the Dahan, that gave it reality?
The reason for Lightning's Swift Strike's growth may be nebulous, but as the sky darkens and the rain starts to fall, there is little doubt: whether reality gave birth to the story, or the other way around, something Immense is looming up above.","Thunderspeaker keeps staring at the sky long after the storm has passed. Does it remember a time where it was called Bright Thunder Roars? Does it remember soaring across the sky on Lightning's Swift Strike's wings, crossing paths with Downpour Drenches the World in joyful celebration? Perhaps Thunderspeaker's gaze is instead focused on the future, where many questions are yet to be answered...","If you won during your first game, unlock Lightning's Swift Strike's Immense aspect.
If you won during your second game, instead reveal Artifact #60.
Regardless of the outcome, unlock Scenario #10."
32,Spirit of Retribution,(none),"Vengeance as a Burning Plague, Volcano Looming High",,All other spirits,,Scotland,Coastline,"Volcano Looming High starts with the Volcanic Eruption major power.
At game setup but before the initial explore action, earn 6 fear. Then:
In Volcano Looming High's starting land:
-Destroy all Dahan, beasts and invaders.
-Add a blight from the box, without cascading or removing spirit presence.
-Add a Wilds token.

In all adjacent lands:
-Destroy all beasts and Dahan.
-If there are no blights, then add a blight from the box without cascading or removing spirit presence.

Stone's Unyielding Defiance cannot be unlocked during this scenario.","As it screams its increasing anger to the sky, Volcano Looming High is surprised to hear a different sound, one that does not come from it at all. As it spits its anger all over the land, it senses a presence leaving it to take a new form, now unleashed upon the land.
The entire land braces and rises in anger as the spirit of Vengeance leaves the simmering volcanic pool where it laid dormant for so long.
One should not call upon Vengeance as a Burning Plague lightly. Most would say one should not call upon it at all. Yet it is too late now, and there is no taking it back.","The mist, temporarily chased away by the volcanic eruption, reforms once everything becomes quiet again. Volcano Looming High looks at the island with consternation: what has it done?",Scenario #99
33,CHILD OF THE VOLCANO AND THE GREEN: Destructive Nature,(none),Heart of the Wildfire,,Keeper of the Forbidden Wilds,,Scotland,Fragment,"Use Elemental Invocation default scenario. Do not use a blight card; instead, use 10 blight tokens (as printed on the default board). For the purpose of events, the land is considered blighted from the start.

WARNING: Loss will result in the end of this side story.","Happily awakened, Heart of the Wildfire now roams free. It is joyful and impulsive, and little inclined to listen to spirits and their problems - the island is rich and full of promises, and much more enticing. The elements themselves seem to greet the newly awakened spirit to the surface of the island.
Awakening Heart of the Wildfire was one thing; convincing it to listen is another.","As Heart of the Wildfire slows down long enough to listen to their plight, spirits can't help but wonder: were they right to awaken it? Its efficiency against the invaders requires no more proof, but the land seems to suffer from its presence...
And just as spirits form those thoughts, they notice small sprouts emerging from the ground where the Wildfire had passed. It is said that The Burned Land Regrows...","If you won (either during your first game or second game), unlock Heart of the Wildfire."
34,AFFINITY - Spirits of Darkness and Dread,(none),"Bringer of Dreams and Nightmares, Shadows Flicker Like Flame",,All other spirits,,England,Standard,Use Rituals of Terror default scenario,"Most spirits use fear to scare away invaders; some go out of their way to do so. Some go so far out of their way to do so, that they lure invaders for the sole purpose of testing the effect of new Rituals of Terror on them.","Do Dahan collaborate with spirits because they remember the Years of the Relentless Sun? Do they do so because they remember a time before the invaders, when Bringer of Dreams and Nightmares was sought after and celebrated? As the island is flooded with nightmares, Dahan carry gratitude and hope.","If you won during your first game, reveal Artifact #10 and Artifact #18.
If you won during your second game, only reveal Artifact #18."
